Input Size	Execution Time
10		1
10		2
10		1
10		1
10		1
10		1
10		1
10		1
10		1
10		1
10		1
10		1
10		1
10		2
10		1
10		1
10		1
10		2
10		1
10		2
10		1
10		1
10		1
10		1
10		1




100		19
100		20
100		20
100		19
100		22
100		17
100		19
100		19
100		20
100		20
100		20
100		20
100		21
100		19
100		44
100		20
100		19
100		19
100		19
100		20
100		20
100		19
100		20
100		20
100		20





1000		253
1000		238
1000		194
1000		194
1000		250
1000		194
1000		193
1000		193
1000		194
1000		193
1000		193
1000		207
1000		194
1000		237
1000		192
1000		194
1000		197
1000		194
1000		235
1000		193
1000		196
1000		198
1000		242
1000		194
1000		198
